Date,Open
11/22/2019,8530.54
11/21/2019,8527.87
11/20/2019,8543.57
11/19/2019,8578.02
11/18/2019,8529.16
11/15/2019,8524.48
11/14/2019,8461.06
11/13/2019,8455.02
11/12/2019,8471.07
11/11/2019,8431.26
11/08/2019,8422.67
11/07/2019,8455.11
11/06/2019,8426.57
11/05/2019,8446.62
11/04/2019,8445.5
11/01/2019,8335.05
10/31/2019,8314.38
10/30/2019,8284.28
10/29/2019,8313.35
10/28/2019,8285.77
10/25/2019,8150.59
10/24/2019,8180.04
10/23/2019,8090.24
10/22/2019,8188.12
10/21/2019,8137.42
10/18/2019,8149.85
10/17/2019,8176.91
10/16/2019,8119.81
10/15/2019,8074.85
10/14/2019,8044.35
10/11/2019,8085.2
10/10/2019,7904.56
10/09/2019,7895.96
10/08/2019,7898.27
10/07/2019,7956.41
10/04/2019,7908.44
10/03/2019,7787.02
10/02/2019,7851.13
10/01/2019,8026.83
09/30/2019,7964.09
09/27/2019,8047.11
09/26/2019,8070.12
09/25/2019,7990.66
09/24/2019,8147.23
09/23/2019,8106.49
09/20/2019,8184.88
09/19/2019,8193.59
09/18/2019,8174.62
09/17/2019,8148.65
09/16/2019,8121.64
09/13/2019,8190.57
09/12/2019,8206.58
09/11/2019,8091.68
09/10/2019,8049.98
09/09/2019,8130.91
09/06/2019,8125.58
09/05/2019,8061.29
09/04/2019,7949.81
09/03/2019,7906.44
08/30/2019,8015.16
08/29/2019,7945.78
08/28/2019,7798.35
08/27/2019,7908.78
08/26/2019,7829.58
08/23/2019,7943.65
08/22/2019,8038.79
08/21/2019,8017.07
08/20/2019,7989.36
08/19/2019,8006.18
08/16/2019,7828.35
08/15/2019,7790.2
08/14/2019,7877.33
08/13/2019,7852.37
08/12/2019,7907.49
08/09/2019,7997.19
08/08/2019,7921.59
08/07/2019,7747.27
08/06/2019,7804.51
08/05/2019,7823.33
08/02/2019,8056.42
08/01/2019,8190.56
07/31/2019,8290.8
07/30/2019,8231.77
07/29/2019,8325.1
07/26/2019,8294.3
07/25/2019,8294.68
07/24/2019,8227.36
07/23/2019,8242.5
07/22/2019,8171.99
07/19/2019,8241.34
