Date,BTC,Open
2018-10-25,5032.95,13229.77
2018-10-26,5045.46,12795.12
2018-10-27,5049.74,12685.23
2018-10-28,5052.58,13119.37
2018-10-29,5059.49,13360.72
2018-10-30,4950.26,13564.63
2018-10-31,4987.25,13860.39
2018-11-01,4948.62,13866.43
2018-11-02,4905.75,13990.35
2018-11-03,4923.86,14001.32
2018-11-04,4907.08,14194.72
2018-11-05,4892.85,14177.21
2018-11-06,4925.28,14500.39
2018-11-07,4933.08,14558.59
2018-11-08,4968.05,14444.78
2018-11-09,4931.42,14269.53
2018-11-10,4923.39,14304.35
2018-11-11,4942.98,14490.26
2018-11-12,4955.62,14002.58
2018-11-13,4957.82,13861.49
2018-11-14,4879.64,13830.47
2018-11-15,4416.89,13547.29
2018-11-16,4422.24,13584.69
2018-11-17,4344.71,13373.12
2018-11-18,4330.04,13647.43
2018-11-19,4380.25,13319.39
2018-11-20,3783.11,13312.44
2018-11-21,3491.75,13665.38
2018-11-22,3609.84,13623.70
2018-11-23,3386.57,13168.80
2018-11-24,3391.33,12749.17
2018-11-25,3026.89,12918.04
2018-11-26,3133.54,12500.88
2018-11-27,2938.94,12712.86
2018-11-28,2999.90,12710.42
2018-11-29,3328.89,12331.69
2018-11-30,3355.78,12511.46
2018-12-01,3155.20,12574.73
2018-12-02,3294.05,12787.52
2018-12-03,3252.55,12246.83
2018-12-04,3053.75,11923.03
2018-12-05,3112.65,11900.34
2018-12-06,2949.01,11645.57
2018-12-07,2749.05,11199.25
2018-12-08,2688.06,11555.97
2018-12-09,2728.38,11727.14
2018-12-10,2838.77,11905.57
2018-12-11,2784.55,11790.68
2018-12-12,2738.69,11364.40
2018-12-13,2760.97,11542.67
2018-12-14,2617.58,11396.28
2018-12-15,2576.85,11326.44
2018-12-16,2570.72,11225.03
2018-12-17,2584.94,11409.84
2018-12-18,2810.02,11869.69
2018-12-19,2929.25,12137.54
2018-12-20,2963.89,12176.89
2018-12-21,3263.21,11945.57
2018-12-22,3085.39,12097.12
2018-12-23,3183.42,12200.33
2018-12-24,3162.23,11925.81
2018-12-25,3210.38,12147.28
2018-12-26,3010.68,12016.47
2018-12-27,3047.62,11543.88
2018-12-28,2888.93,10986.85
2018-12-29,3096.70,10897.43
2018-12-30,3009.99,10968.40
2018-12-31,3047.02,10806.02
2019-01-01,2940.80,10697.55
2019-01-02,3018.13,10974.05
2019-01-03,3140.12,10941.95
2019-01-04,3034.44,11137.68
2019-01-05,3026.26,11351.31
2019-01-06,3015.50,11661.02
2019-01-07,3203.17,11542.24
2019-01-08,3151.18,11160.22
2019-01-09,3165.18,11048.25
2019-01-10,3152.14,11006.83
2019-01-11,2880.88,10964.18
2019-01-12,2870.35,11337.90
2019-01-13,2849.16,11422.60
2019-01-14,2768.66,11503.61
2019-01-15,2877.21,11524.49
2019-01-16,2821.34,11420.89
2019-01-17,2834.09,11056.55
2019-01-18,2832.88,11151.21
2019-01-19,2836.36,11379.36
2019-01-20,2893.11,11561.64
2019-01-21,2800.24,11515.00
2019-01-22,2773.44,11726.09
2019-01-23,2782.92,11914.15
2019-01-24,2740.13,12025.37
2019-01-25,2749.25,11837.96
2019-01-26,2728.10,11701.53
2019-01-27,2730.06,11756.19
2019-01-28,2713.70,12036.48
2019-01-29,2636.02,12239.69
2019-01-30,2633.27,12317.96
2019-01-31,2657.17,12287.67
2019-02-01,2639.86,12433.87
2019-02-02,2663.13,12675.04
2019-02-03,2687.21,12538.80
2019-02-04,2651.58,12703.72
2019-02-05,2651.74,12557.49
2019-02-06,2677.53,12793.44
2019-02-07,2640.68,12944.82
2019-02-08,2626.85,12866.31
2019-02-09,2837.18,12996.63
2019-02-10,2837.77,13082.64
2019-02-11,2856.78,12968.63
2019-02-12,2831.95,12937.79
2019-02-13,2834.16,12832.27
2019-02-14,2824.77,12523.16
2019-02-15,2826.61,12380.37
2019-02-16,2804.04,12375.15
2019-02-17,2818.76,12506.37
2019-02-18,2845.00,12630.58
2019-02-19,3026.85,12021.05
2019-02-20,3021.94,12093.06
2019-02-21,3066.50,11972.56
2019-02-22,3030.66,11707.44
2019-02-23,3063.60,11899.14
2019-02-24,3175.99,11643.03
2019-02-25,2914.11,11559.38
2019-02-26,2954.88,11679.86
2019-02-27,2909.77,11958.61
2019-02-28,2889.52,12174.94
2019-03-01,2905.33,11908.81
2019-03-02,2918.26,11680.41
2019-03-03,2923.91,11633.24
2019-03-04,2904.69,11401.21
2019-03-05,2852.89,11338.57
2019-03-06,2962.66,11440.14
2019-03-07,2961.32,11466.21
2019-03-08,2989.26,11167.38
2019-03-09,2992.57,10952.69
2019-03-10,3046.93,10833.38
2019-03-11,3044.21,10955.29
2019-03-12,2947.12,10817.52
2019-03-13,2995.44,10894.44
2019-03-14,2939.34,10697.71
2019-03-15,2961.81,10659.01
2019-03-16,2978.47,11054.72
2019-03-17,3041.46,11022.67
2019-03-18,3030.73,11129.04
2019-03-19,3040.34,10877.28
2019-03-20,3068.16,10659.95
2019-03-21,3092.85,10484.37
2019-03-22,3067.99,10437.00
2019-03-23,3044.29,10131.82
2019-03-24,3054.40,10742.81
2019-03-25,3047.20,10575.65
2019-03-26,3003.91,10963.99
2019-03-27,3016.01,10689.31
2019-03-28,3107.48,10657.41
2019-03-29,3116.53,10576.04
2019-03-30,3137.44,10867.07
2019-03-31,3147.39,10996.97
2019-04-01,3152.59,10969.02
2019-04-02,3181.02,10971.95
2019-04-03,3717.52,10766.20
2019-04-04,3773.10,11028.43
2019-04-05,3765.38,11154.74
2019-04-06,3863.47,10885.01
2019-04-07,3883.42,10399.45
2019-04-08,3988.40,10548.14
2019-04-09,4049.96,10516.94
2019-04-10,3985.95,10611.53
2019-04-11,4065.63,10528.45
2019-04-12,3877.13,10869.17
2019-04-13,3891.44,11124.75
2019-04-14,3896.73,11233.90
2019-04-15,3949.53,11474.82
2019-04-16,3867.70,11260.10
2019-04-17,4014.27,11008.67
2019-04-18,4027.69,11257.01
2019-04-19,4077.76,11091.01
2019-04-20,4081.39,11058.56
2019-04-21,4105.80,11174.61
